"Headline","Publisher","Date"
"NZ to talk to Ukraine after alleged Christchurch gunman's manifesto sold online","TVNZ","2019-08-23"
"Nato boss Jens Stoltenberg addressed the Royal Commission investigating the March 15 shooting","New Zealand Herald","2019-08-23"
"Wellington councillors vote to delay Shelly Bay review","Stuff.co.nz","2019-08-23"
"Wellington City Council vote against review of Shelly Bay development","TVNZ","2019-08-23"
"Nearly $800k in ratepayer money spent on controversial Shelly Bay development","TVNZ","2019-08-23"
"Government's plan to fix 'stuffed' housing market","Newshub","2019-08-23"
"Hopes anti-NIMBY announcement will help 'awful' process of building more houses in Wellington","Stuff.co.nz","2019-08-23"
"New urban growth plan touted as game changer that will fix NZ's 'dysfunctional' housing market","TVNZ","2019-08-23"
"'Poor quality planning stopping cities from growing' Twyford","RNZ","2019-08-23"
"Govt launches plan to fix NZ's 'failing' cities","Otago Daily Times","2019-08-23"
"Private investigator Clinton Bowerman wins back firearms licence after police revoked it","Stuff.co.nz","2019-08-23"
"Native trees cut down in unauthorised track","Stuff.co.nz","2019-08-23"
"The $3.5 billion 'brake' on the economy","Stuff.co.nz","2019-08-23"
"Auckland Light Rail won't start until after 2020","Newstalk ZB","2019-08-23"
"Auckland light rail to Mangere delayed as talks on who will deliver it continue","Stuff.co.nz","2019-08-23"
"Auckland light rail process will drag on past next year","New Zealand Herald","2019-08-23"
"People, roads and billions in assets vulnerable to climate change-related floods","Stuff.co.nz","2019-08-23"
"New reports map cost of flood risk under climate change","TVNZ","2019-08-23"
"Person dies in collision between car and logging truck in Waikato","TVNZ","2019-08-23"
"One dead after crash between car and logging truck in Tuakau, south of Auckland","Stuff.co.nz","2019-08-23"
"One dead after logging truck and car collide in Waikato","RNZ","2019-08-23"
"One dead in crash involving logging truck in Tuakau, Waikato","New Zealand Herald","2019-08-23"
"Police 'extremely pleased' after Jonah Lomu's 'niece' Selaima Fakaosilea jailed over meth importation","Newshub","2019-08-23"
"Ninety Mile Beach meth bust: Boat launch a 'comedy of errors', eyewitness says","Stuff.co.nz","2019-08-23"
"Final chapter in NZ's biggest drug bust closed","Otago Daily Times","2019-08-23"
"Pair jailed for their roles in country's biggest meth haul","newsie.co.nz","2019-08-23"
"Ninety Mile beach meth bust: Police ID kingpins behind massive drug haul","Stuff.co.nz","2019-08-23"
"Phil Twyford pushes Nigel Gould to resign from CAA","New Zealand Herald","2019-08-23"
"Embattled CAA chair Nigel Gould resigns","Stuff.co.nz","2019-08-23"
"Civil Aviation Authority chair Nigel Gould resigns at Transport Minister Phil Twyford's request","Newshub","2019-08-23"
"Civil Aviation Authority chairperson Nigel Gould resigns | 1 NEWS NOW","TVNZ","2019-08-23"
"Twyford asked 'I step aside' Civil Aviation Authority chair","RNZ","2019-08-23"
"Photos of Speaker with Tamati Coffey's baby in Parliament seen around the world","Stuff.co.nz","2019-08-23"
"Far North iwi want action on speed limits after latest crash","Stuff.co.nz","2019-08-23"
"Winston Peters labels flowers from Paula Bennett, 'seriously bad taste'","TVNZ","2019-08-23"
"'Seriously bad taste' - a recuperating Winston Peters on Paula Bennett's flowers","Stuff.co.nz","2019-08-23"
"Winston Peters slams hospital flowers from Paula Bennett as 'seriously bad taste'","Newshub","2019-08-23"
"Winston Peters lashes out over Paula Bennett's floral gift","Newstalk ZB","2019-08-23"
"MPs aghast over tobacco researcher Marewa Glover's claim 'bodies heal' from secondhand smoke","Newshub","2019-08-23"
