"Headline","Publisher","Date"
"Rugby World Cup: Rating the contenders for Japan 2019","Stuff.co.nz","2019-08-23"
"Rieko Ioane says people have read too much into him being dropped from All Blacks","TVNZ","2019-08-23"
"Levin escape: Two officers were guarding four men","RNZ","2019-08-23"
"Police not following 'best practice' when trio escaped police custody","Stuff.co.nz","2019-08-23"
"Levin manhunt: Police admit error after three inmates escaped from court","New Zealand Herald","2019-08-23"
"Police reveal new details of Levin prisoner escape as manhunt continues","TVNZ","2019-08-23"
"Police admit prisoners who escaped in Levin were not held 'with best practice'","Newshub","2019-08-23"
"Government considered banning fossil fuel vehicles","Stuff.co.nz","2019-08-23"
"Murder charge after man's body found in Tokoroa","Stuff.co.nz","2019-08-23"
"Man charged with murder over Waikato death","New Zealand Herald","2019-08-23"
"Man charged with murder after body found in Tokoroa","TVNZ","2019-08-23"
"Police release details of Levin prisoners who escaped custody as hunt continues","TVNZ","2019-08-23"
"Trio escape police custody, on the run in Levin","Otago Daily Times","2019-08-23"
"Manhunt under way after three prisoners escape police in Levin, hijack car","Stuff.co.nz","2019-08-23"
"Police officer restrained as three prisoners escape from custody while being transported in Levin","TVNZ","2019-08-23"
"Police in Levin hunt escaped offenders","RNZ","2019-08-23"
"Government to contact Ukraine over sale of accused Christchurch gunman's 'manifesto'","New Zealand Herald","2019-08-23"
"Christchurch shooting: Prime Minister says Government will contact Ukraine over sale of alleged gunman's manifesto","Newshub","2019-08-23"
"Nato boss Jens Stoltenberg addressed the Royal Commission investigating the March 15 shooting","New Zealand Herald","2019-08-23"
"NZ to talk to Ukraine after alleged Christchurch gunman's manifesto sold online","TVNZ","2019-08-23"
"Wellington councillors vote to delay Shelly Bay review","Stuff.co.nz","2019-08-23"
"Wellington City Council vote against review of Shelly Bay development","TVNZ","2019-08-23"
"Nearly $800k in ratepayer money spent on controversial Shelly Bay development","TVNZ","2019-08-23"
"Timaru man on mobility scooter chased by police says he had to get home to get dinner ready","Newshub","2019-08-23"
"'He's going for it': Mobility scooter hoons past police car during slow pursuit","Stuff.co.nz","2019-08-23"
"Scooter pursuit: Man on mobility scooter leads Timaru police on low-speed chase","New Zealand Herald","2019-08-23"
"'Go old man, go!' Timaru police chase man on mobility scooter - but he won't stop","TVNZ","2019-08-23"
"Timaz hard! Mobility scooter man in police pursuit","Otago Daily Times","2019-08-23"
"Government's plan to fix 'stuffed' housing market","Newshub","2019-08-23"
"Hopes anti-NIMBY announcement will help 'awful' process of building more houses in Wellington","Stuff.co.nz","2019-08-23"
